Account,Platform,URL,Followers,Engagement Rate,Campaign Engagement Rate,Total Engagements,Media Count,Posts Count,Stories Count,Aggregate Impressions
lauralestyle,tiktok,https://tiktok.com/@lauralestyle,126264,0.49,1.21,1523,1,1,0,36681
dina.sweethome.style_,tiktok,https://tiktok.com/@dina.sweethome.style_,40023,0.66,0.27,110,1,1,0,3876
evanabowell,tiktok,https://tiktok.com/@evanabowell,17869,1.06,0.53,189,2,2,0,8855
she.is.liv,tiktok,https://tiktok.com/@she.is.liv,83,13.25,43.98,73,2,2,0,2067
oakbankreno,tiktok,https://tiktok.com/@oakbankreno,347,13.26,5.48,38,2,2,0,2286
ourhutleyhome,tiktok,https://tiktok.com/@ourhutleyhome,33,81.82,15.15,5,1,1,0,166
arleninteriors,tiktok,https://tiktok.com/@arleninteriors,771,3.31,5.51,85,2,2,0,3434
labouroflovereno,tiktok,https://tiktok.com/@labouroflovereno,13534,2.83,0.47,63,1,1,0,3336
_ashlee_white_,tiktok,https://tiktok.com/@_ashlee_white_,10623,0.55,0.36,152,4,4,0,10552
coastal_luxury,tiktok,https://tiktok.com/@coastal_luxury,10237,0.33,0.34,70,2,2,0,2251
hawkerstudiosgc,instagram,https://instagram.com/hawkerstudiosgc/,4523,0.62,2.01,91,1,1,0,7922
wholeheartedstudio,instagram,https://instagram.com/wholeheartedstudio/,8921,0.61,1.06,566,7,6,1,12368
dina.sweethome.style_,instagram,https://instagram.com/dina.sweethome.style_/,174692,0.65,1.24,13034,6,6,0,1262055
rubybrownless,instagram,https://instagram.com/rubybrownless/,36933,0.9,0.06,21,1,1,0,35822
juliamuniz,instagram,https://instagram.com/juliamuniz/,634779,0.3,0,62,2,2,0,127896
our.peachy.days,instagram,https://instagram.com/our.peachy.days/,26786,0.59,0.01,4,1,1,0,1191
clara_smithh,instagram,https://instagram.com/clara_smithh/,108164,1.71,0.01,20,2,2,0,93051
mrtravisburns,instagram,https://instagram.com/mrtravisburns/,126273,0.03,0.01,10,1,1,0,28302
eloise__jenkins,instagram,https://instagram.com/eloise__jenkins/,23365,0,0.07,17,1,1,0,13803
jaydeheiser,instagram,https://instagram.com/jaydeheiser/,205870,0.01,,0,2,0,2,0
megannmunro,instagram,https://instagram.com/megannmunro/,1887,4.88,0.69,26,2,2,0,34304
newcastlehomestaging,instagram,https://instagram.com/newcastlehomestaging/,10708,0.85,2.05,219,1,1,0,27790
she.is.liv,instagram,https://instagram.com/she.is.liv/,8081,1.36,1.35,436,4,4,0,59670
timneve,instagram,https://instagram.com/timneve/,16681,0.02,0.02,3,1,1,0,0
mikaylaklewer,instagram,https://instagram.com/mikaylaklewer/,52885,0.82,,0,1,0,1,0
lilybroustaill,instagram,https://instagram.com/lilybroustaill/,52614,1.61,0.02,10,1,1,0,27742
millyadamson,instagram,https://instagram.com/millyadamson/,18958,0.17,0.73,278,2,2,0,51684
brontczauderna,instagram,https://instagram.com/brontczauderna/,139684,0.21,0.23,969,3,3,0,53620
breeemasters,instagram,https://instagram.com/breeemasters/,279442,1.25,0.58,6432,4,4,0,305823
