Account,Platform,URL,Followers,Engagement Rate,Campaign Engagement Rate,Total Engagements,Media Count,Posts Count,Stories Count,Aggregate Impressions
lauralestyle,tiktok,https://tiktok.com/@lauralestyle,126264.0,0.49,1.21,1523.0,1.0,1.0,0.0,36681.0
dina.sweethome.style_,tiktok,https://tiktok.com/@dina.sweethome.style_,40023.0,0.66,0.27,110.0,1.0,1.0,0.0,3876.0
evanabowell,tiktok,https://tiktok.com/@evanabowell,17869.0,1.06,0.53,189.0,2.0,2.0,0.0,8855.0
she.is.liv,tiktok,https://tiktok.com/@she.is.liv,83.0,13.25,43.98,73.0,2.0,2.0,0.0,2067.0
oakbankreno,tiktok,https://tiktok.com/@oakbankreno,347.0,13.26,5.48,38.0,2.0,2.0,0.0,2286.0
ourhutleyhome,tiktok,https://tiktok.com/@ourhutleyhome,33.0,81.82,15.15,5.0,1.0,1.0,0.0,166.0
arleninteriors,tiktok,https://tiktok.com/@arleninteriors,771.0,3.31,5.51,85.0,2.0,2.0,0.0,3434.0
labouroflovereno,tiktok,https://tiktok.com/@labouroflovereno,13534.0,2.83,0.47,63.0,1.0,1.0,0.0,3336.0
_ashlee_white_,tiktok,https://tiktok.com/@_ashlee_white_,10623.0,0.55,0.36,152.0,4.0,4.0,0.0,10552.0
coastal_luxury,tiktok,https://tiktok.com/@coastal_luxury,10237.0,0.33,0.34,70.0,2.0,2.0,0.0,2251.0
hawkerstudiosgc,instagram,https://instagram.com/hawkerstudiosgc/,4523.0,0.62,2.01,91.0,1.0,1.0,0.0,7922.0
wholeheartedstudio,instagram,https://instagram.com/wholeheartedstudio/,8921.0,0.61,1.06,566.0,7.0,6.0,1.0,12368.0
dina.sweethome.style_,instagram,https://instagram.com/dina.sweethome.style_/,174692.0,0.65,1.24,13034.0,6.0,6.0,0.0,1262055.0
rubybrownless,instagram,https://instagram.com/rubybrownless/,36933.0,0.9,0.06,21.0,1.0,1.0,0.0,35822.0
juliamuniz,instagram,https://instagram.com/juliamuniz/,634779.0,0.3,0.0,62.0,2.0,2.0,0.0,127896.0
our.peachy.days,instagram,https://instagram.com/our.peachy.days/,26786.0,0.59,0.01,4.0,1.0,1.0,0.0,1191.0
clara_smithh,instagram,https://instagram.com/clara_smithh/,108164.0,1.71,0.01,20.0,2.0,2.0,0.0,93051.0
mrtravisburns,instagram,https://instagram.com/mrtravisburns/,126273.0,0.03,0.01,10.0,1.0,1.0,0.0,28302.0
eloise__jenkins,instagram,https://instagram.com/eloise__jenkins/,23365.0,0.0,0.07,17.0,1.0,1.0,0.0,13803.0
jaydeheiser,instagram,https://instagram.com/jaydeheiser/,205870.0,0.01,2.954390243902439,0.0,2.0,0.0,2.0,0.0
megannmunro,instagram,https://instagram.com/megannmunro/,1887.0,4.88,0.69,26.0,2.0,2.0,0.0,34304.0
